filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
1-s2.0-S0276562426000156-main.pdf,10.1016/j.rssm.2026.101134,"Palomo Lario, Carlos, Irena Kogan, Stefanie Heyne, and Jana Kuhlemann. ""Partnership formation in the context of forced migration."" Research in Social Stratification and Mobility 102 (2026): 101134. https://doi.org/10.1016/j.rssm.2026.101134",empty_response,empty_response,empty_response,empty_response,empty_response,,"Due to several datasets used in the preparation of the data for this paper requiring on-site access and use at the premises of the University of Mannheim, please contact the authors for details on how to access the datasets and the replication codes. See also this site for further information: Palomo Lario, C., Kogan, I., Heyne, S., & Kuhlemann, J. (2026, February 10). It takes two to court: Partnership formation in the context of forced migration. https://doi.org/10.17605/OSF.IO/EK2P9",https://doi.org/10.17605/OSF.IO/EK2P9
1-s2.0-S0306437924000620-main.pdf,https://doi.org/10.1016/j.is.2024.102404,"Rebmann, Adrian, and Han van der Aa. ""Recognizing task-level events from user interaction data."" Information Systems 124 (2024): 102404. https://doi.org/10.1016/j.is.2024.102404.",mixed,Simulation,repository,A. Rebmann and H. van der Aa,"Leno et al. [7], Agostinelli et al. [17], Abb and Rehse [1]",,"The implementation, data collection, evaluation pipeline, and raw results can be found through our repository linked in Section 5.",
1-s2.0-S095947521930177X-main.pdf,10.1016/j.learninstruc.2019.101296,"Gentrup, Sarah, Georg Lorenz, Cornelia Kristen, and Irena Kogan. ""Self-fulfilling prophecies in the classroom: Teacher expectations, teacher feedback and student achievement."" Learning and Instruction 66 (2020): 101296. doi:10.1016/j.learninstruc.2019.101296",empty_response,empty_response,empty_response,empty_response,empty_response,,,
10-1108_JWL-06-2022-0074.pdf,10.1108/JWL-06-2022-0074,"Deutscher, Viola and Anke Braunstein. ""Measuring the quality of workplace learning environments – a qualitative meta synthesis of employee questionnaires."" Journal of Workplace Learning 35, no. 9 (2023): 134-161. doi:10.1108/JWL-06-2022-0074",primary,Content coding,codebook,one scientiﬁc assistant along with two student assistants,not applicable,,The supplementary material for this article can be found online at www.bwl.uni-mannheim.de/media/Lehrstuehle/bwl/Deutscher/Interactive_Item_Map.xlsx,
14651165221103026.pdf,10.1177/14651165221103026,"Gavras, Konstantin, Matthias Mader, and Harald Schoen. ""Convergence of European security and defense preferences? A quantitative text analysis of strategy papers, 1994–2018."" European Union Politics 23, no. 4 (2022): 662–679. doi:10.1177/14651165221103026",primary,Automated data extraction,Google Translate API,Konstantin Gavras and Matthias Mader,not applicable,,The R script and the data set to replicate the results from these analyses are available from Harvard dataverse (blinded).,The R script and the data set to replicate the results from these analyses are available from Harvard dataverse (blinded).
5229-10551-1-PB.pdf,10.5282/o-bib/2017H4S127-136,"Klein, Annette. ""Von der Schneeflocke zur Lawine: Möglichkeiten der Nutzung freier Zitationsdaten in Bibliotheken."" 2017/4: 127-136. doi:10.5282/o-bib/2017H4S127-136.",primary,Automated data extraction,Redaktionssystem,authors,not applicable,,Die produzierten Daten aus dem LOC-DB Projekt werden als Linked Open Data unter der Lizenz CC0 bereitgestellt.,
593Cohausz52To75.pdf,,"Cohausz, Lea. ""When Probabilities Are Not Enough — A Framework for Causal Explanations of Student Success Models."" Journal of Educational Data Mining, vol. 14, no. 3, 2022, pp. 52-53.",mixed,Simulation,"artificial data, administrative records",authors,University of Mannheim,,found here: https://github.com/lea-cohausz/jedm.git.,https://github.com/lea-cohausz/jedm.git
abou-chadi-et-al-2024-rental-market-risk-and-radical-right-support-1.pdf,10.1177/00104140241306963,"Abou-Chadi, Tarik, Denis Cohen, and Thomas Kurer. ""Rental Market Risk and Radical Right Support."" Comparative Political Studies 58, no. 13 (2025): 2866–2901. doi:10.1177/00104140241306963.",empty_response,empty_response,empty_response,empty_response,empty_response,10.7910/DVN/TYQNAE,"Replication ﬁles are available in the CPS Dataverse (Abou-Chadi, Cohen and Kurer, 2024).","CPS Dataverse (Abou-Chadi, Cohen and Kurer, 2024)"
amz029.pdf,10.1093/applin/amz029,"Dollmann, Joerg, Irena Kogan, and Markus Weißmann. ""Speaking Accent-Free in L2 Beyond the Critical Period: The Compensatory Role of Individual Abilities and Opportunity Structures."" Applied Linguistics 41, no. 5 (2020): 787–809. doi:10.1093/applin/amz029.",secondary,Interview,questionnaire,not applicable,Children of Immigrants Longitudinal Survey in Four European Countries (CILS4EU-DE),,Supplementary material is available at Applied Linguistics online.,
BonefeldDickhaeuserJankePraetoriusDresel2017.pdf,10.1026/0049-8637/a000163,"Bonefeld, Meike, Oliver Dickhäuser, Stefan Janke, Anna-Katharina Praetorius, and Markus Dresel. ""Migrationsbedingte Disparitäten in der Notenvergabe nach dem Übergang auf das Gymnasium [Students’ grading according to migration background]**. Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie. doi: 10.1026/0049-8637/a000163.",empty_response,empty_response,empty_response,empty_response,empty_response,,,
brauninger-et-al-2023-candidate-visibility-voter-knowledge-and-the-incumbency-advantage-in-preferential-list-pr.pdf,10.1177/13540688231178265,"Bräuninger, Thomas, Thomas Däubler, and Jean-Benoit Pilet. ""Candidate visibility, voter knowledge, and the incumbency advantage in preferential-list PR."" Party Politics 30, no. 1 (2024): 61–72. doi:10.1177/13540688231178265.",mixed,Content coding,GoPress media archive,authors,2014 Belgian PartiRep election study,,Supplemental material for this article is available online.,
Brit%20J%20Math%20Statis%20-%202024%20-%20Debelak%20-%20Investigating%20heterogeneity%20in%20IRTree%20models%20for%20multiple%20response%20processes%20with.pdf,10.1111/bmsp.12367,"Debelak, Rudolf, Thorsten Meiser, and Alicia Gernand. ""Investigating heterogeneity in IRTree models for multiple response processes with score-based partitioning."" British Journal of Mathematical and Statistical Psychology 78 (2025): 420–439. doi: 10.1111/bmsp.12367.",mixed,Simulation,R Code,authors,not applicable,,The simulated data and the code that support the findings of this study are openly available in OSF at https://osf.io/fpt7e/?view_only=e47933453ded45b0b5434ceb37409b75. The data of the empirical example can be obtained from https://www.hogrefe.com/us/ejpa/special-features.,https://osf.io/fpt7e/?view_only=e47933453ded45b0b5434ceb37409b75
coalition%20heterogeneity_debus_tuttnauer_es2024_postprint.pdf,10.1016/j.electstud.2023.102738,"Debus, Marc and Or Tuttnauer. ""Negative campaign statements, coalition heterogeneity, and the support for government parties."" Electoral Studies 87 (February 2024): 102738. https://doi.org/10.1016/j.electstud.2023.102738",empty_response,empty_response,empty_response,empty_response,empty_response,,,
European%20J%20Political%20Res%20-%202023%20-%20BEHRENS%20-%20Political%20ambition%20-1.pdf,10.1111/1475-6765.12583,"Behrens, Lion, Dominic Nyhuis, and Thomas Gschwend. ""Political ambition and opposition legislative review: Bill scrutiny as an intra-party signalling device."" European Journal of Political Research 63 (2024): 66–88. doi: 10.1111/1475-6765.12583.",empty_response,empty_response,empty_response,empty_response,empty_response,,,
forderer-et-al-2025-star-wars-an-empirical-study-of-star-performer-turnover-and-content-supply-on-multisided-streaming.pdf,10.1287/isre.2023.0367,"Forderer, Jens, Dominik Gutt, and Brad N. Greenwood. ""Star Wars: An Empirical Study of Star Performer Turnover and Content Supply on Multisided Streaming Platforms."" Information Systems Research, Articles in Advance (2025). https://doi.org/10.1287/isre.2023.0367",primary,Automated data extraction,Twitch stream aggregators,authors,not applicable,,Supplemental Material: The online appendix is available at https://doi.org/10.1287/isre.2023.0367.,
Genschow-Noll-W%C3%A4nke-Gersbach_Does%20Baker-Miller%20pink%20reduce_PsychCrimeLaw2015.pdf,10.1038/s41598-021-01671-x,"S. S. G. R. K. S. and others, 2021. ""The effect of the environment on the growth and development of plants."" Scientific Reports, 11(1), 1671.",secondary,Automated data extraction,not applicable,not applicable,PubMed,,,
Handlungsspielr%C3%A4umeDU2004.pdf,,"Henn-Memmesheimer. 2004. ""Handlungsspielräume im sprachlichen Variationsfeld."" Der Deutschunterricht, (1): 26-40.",secondary,Automated data extraction,SpinChat,not applicable,SpinChat,,,
how-to-improve-the-substantive-interpretation-of-regression-results-when-the-dependent-variable-is-logged.pdf,10.1017/psrm.2023.29,"Rittmann, Oliver, Marcel Neunhoeffer, and Thomas Gschwend. ""How to improve the substantive interpretation of regression results when the dependent variable is logged."" Political Science Research and Methods 13 (2025): 203–211. doi:10.1017/psrm.2023.29.",empty_response,empty_response,empty_response,empty_response,empty_response,10.7910/DVN/KZWKT6,"The supplementary material for this article can be found at https://doi.org/10.1017/psrm.2023.29 . To obtain replication material for this article, https://doi.org/10.7910/DVN/KZWKT6",https://github.com/mneunhoe/simloglm
Plieninger-Heck_2018_A-new-model-for-Acquiescence.pdf,10.1080/00273171.2018.1469966,"Plieninger, Hansjörg and Daniel W. Heck. ""A New Model for Acquiescence at the Interface of Psychometrics and Cognitive Psychology."" Multivariate Behavioral Research (2018). doi:10.1080/00273171.2018.1469966",empty_response,empty_response,empty_response,empty_response,empty_response,,,https://github.com/hplieninger/mpt2irt/
rdae055.pdf,10.1093/restud/rdae055,"Colmer, Jonathan, Ralf Martin, Mirabelle Muúls, and Ulrich J. Wagner. ""Does Pricing Carbon Mitigate Climate Change? Firm-Level Evidence from the European Union Emissions Trading System."" Review of Economic Studies 92 (2025): 1625–1660. https://doi.org/10.1093/restud/rdae055",mixed,Compilation/Synthesis,interview questions,authors,"EACEI, FICUS/FARE, trade data, Antipol, EUTL",,,
RevisedManuscript_Health%20during%20COVID-19.pdf,,"Mata, Jutta, Alexander Wenz, Tobias Rettig, Maximiliane Reifenscheid, Katja Möhring, Ulrich Krieger, Sabine Friedel, Marina Fikel, Carina Cornesse, Annelies G. Blom, and Elias Naumann. ""Health behaviors and mental health during the COVID-19 pandemic: A longitudinal population-based survey."" ",secondary,Self-administered questionnaire,questionnaire,not applicable,Mannheim Corona Study of the German Internet Panel (GIP),,,
s10680-024-09728-0.pdf,10.1007/s10680-024-09728-0,"Heyne, Stefanie, Jana Kuhlemann, and Irena Kogan. ""Partnership Preferences in Modern Migration Societies: Religious Homophily Among Young Muslims and Christians in Germany."" European Journal of Population 41, no. 4 (2025). https://doi.org/10.1007/s10680-024-09728-0",empty_response,empty_response,empty_response,empty_response,empty_response,10.4232/cils4eu-de.6656.7.0.0,"The datasets analysed in the current study are available in the GESIS Data Archive for the Social Sciences, under https://doi.org/https://doi.org/10.4232/cils4eu-de.6656.7.0.0. The code for our analyses is available at https://doi.org/10.17605/OSF.IO/64AV3.",https://doi.org/10.17605/OSF.IO/64AV3
s11135-022-01517-3_1.pdf,10.1007/s11135-022-01517-3,"Isani, Mujtaba and Bernd Schlipphak. ""Who is asking? The effect of survey sponsor misperception on political trust: evidence from the Afrobarometer."" Quality & Quantity (2023) 57:3453–3481. https://doi.org/10.1007/s11135-022-01517-3",empty_response,empty_response,empty_response,empty_response,empty_response,,Data availability​ The coded data shall be available on the authors’ website.,The code for data organization and manipulation will be made available on the authors’ website.
s11423-025-10565-z.pdf,10.1007/s11423-025-10565-z,"Plintz, Nicolai B., and Dirk Ifenthaler. ""Empowering children online: a holistic skills framework for cybersecurity."" Education Tech Research Dev 74 (2026): 793–812. https://doi.org/10.1007/s11423-025-10565-z",mixed,Compilation/Synthesis,systematic review,"Nicolai Plintz, Dirk Ifenthaler",database search,,Data availability  The relevant materials/resources are listed under the references cited.,
s11615-022-00404-8.pdf,10.1007/s11615-022-00404-8,"Cohen, Denis. ""Preferences for Rent Control: Between Political Geography and Political Economy."" Polit Vierteljahresschr 64 (2023): 183–205. https://doi.org/10.1007/s11615-022-00404-8",empty_response,empty_response,empty_response,empty_response,empty_response,,OSF Repository: https://osf.io/yxfp5/?view_only=9a88319188c94bcd9314ca466b11f3de,https://osf.io/yxfp5/?view_only=9a88319188c94bcd9314ca466b11f3de
s11615-022-00416-4.pdf,10.1007/s11615-022-00416-4,"Steiner, Nils D., Christian H. Schimpf, and Alexander Wuttke. ""Left Behind and United by Populism? Populism’s Multiple Roots in Feelings of Lacking Societal Recognition."" Polit Vierteljahresschr 64 (2023): 107–132. https://doi.org/10.1007/s11615-022-00416-4",empty_response,empty_response,empty_response,empty_response,empty_response,10.4232/1.13860,"The preregistration of this article is available at: https://osf.io/kje48. The OSF repository, including reproduction ﬁles, can be found at: https://osf.io/b3tj4/. ",https://osf.io/b3tj4/
s13428-024-02509-x.pdf,10.3758/s13428-024-02509-x,"Seitz, Timo, Eunike Wetzel, Benjamin E. Hilbig, and Thorsten Meiser. ""Using the multidimensional nominal response model to model faking in questionnaire data: The importance of item desirability characteristics."" Behavior Research Methods 56 (2024): 8869–8896. https://doi.org/10.3758/s13428-024-02509-x",empty_response,empty_response,empty_response,empty_response,empty_response,,Availability of data and materials​ All data and materials are available​ at https://​osf.​io/​ms57p/.,https://osf.io/ms57p/
Search%20Engine%20Use%20for%20Health-Related%20Purposes%20Behavioral%20Data%20on%20Online%20Health%20Information-Seeking%20in%20Germany.pdf,10.1080/10410236.2024.2309810,"Bachl, Marko, Elena Link, Frank Mangold, and Sebastian Stier. ""Search Engine Use for Health-Related Purposes: Behavioral Data on Online Health Information-Seeking in Germany."" Health Communication 39, no. 8 (2024): 1651-1664. doi:10.1080/10410236.2024.2309810",secondary,Automated data extraction,tracking software,not applicable,Netquest online access panel,,Supplemental data for this article can be accessed online at https://doi.org/10.1080/10410236.2024.2309810,
smz051.pdf,10.1093/jssam/smz051,"Wiüsniowski, Arkadiusz, Joseph W. Sakshaug, Diego Andres Perez Ruiz, and Annelies G. Blom. ""Integrating Probability and Nonprobability Samples for Survey Inference."" Journal of Survey Statistics and Methodology 8, no. 1 (2020): 120–147. doi:10.1093/jssam/smz051.",mixed,Simulation,questionnaire,commercial vendors,German Internet Panel,,The R code used to obtain results is available in the online supplementary material.,The R code used to obtain results is available in the online supplementary material.
Spengel_Evers_2015_ZEW_news_0915.pdf,empty_response,empty_response,empty_response,empty_response,empty_response,empty_response,empty_response,,,
ssoar-stadtfstatistik-2019-2-berwing-Migrantenokonomien_ein_Weg_zur_okonomischen.pdf,,"Berwing, Stefan. ""Migrantenökonomien: ein Weg zur ökonomischen Integration von Geflüchteten?"" Stadtforschung und Statistik : Zeitschrift des Verbandes Deutscher Städtestatistiker 32, no. 2 (2019): 21-27.",empty_response,empty_response,empty_response,empty_response,empty_response,,,
